time,Grand Est,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Île-de-France,Occitanie,Hauts-de-France,Normandie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2010-01-01,-3.2038271,-2.2117994,-1.7623601,-2.956936,-4.287329,-4.211177,-4.7162213,-1.5130349,-4.347185,-4.0849633,-4.3301353,-2.5216649
2010-01-02,0.50890476,-0.15433763,-2.3938627,-0.3815163,0.31266937,0.45257244,0.7482453,-1.7944444,0.80688137,-0.08852613,0.30729923,-5.0817842
2010-01-03,0.27776504,1.6124159,0.5347468,0.6536289,0.7335305,0.16800642,-0.95632744,1.2464055,-1.6494403,-0.3691744,-0.11264167,0.10454004
2010-01-04,-1.7832242,-1.8041849,-0.1320568,-2.035126,-2.067894,-2.8642092,-2.1268156,0.23950107,-0.2777598,-1.4129963,-3.0862734,-0.2860017
2010-01-05,-0.6320091,-1.9030405,-0.37702474,-1.3110722,-0.2367899,-1.8181602,0.2830727,-0.9806185,1.9646231,1.4536542,-1.7503942,-1.4213018
2010-01-06,0.670481,2.0967615,0.02069143,1.308774,-2.6347425,3.3444023,2.1124728,-0.8072825,2.11296,2.772506,2.1672382,-1.9579178
2010-01-07,0.42021558,-2.0388515,-0.27054703,0.5813109,-5.8398285,-1.9155535,-2.4503095,-1.54417,-0.31616682,-3.7282217,-4.6248,-1.9898108
2010-01-08,-5.5825324,-6.1658134,-5.8400197,-6.731481,-5.9262505,-6.071017,-6.03667,-5.9578853,-4.9404745,-4.854358,-5.662644,-3.6271636
2010-01-09,-5.0699463,-5.055556,-5.258226,-5.419519,-6.067417,-6.2481656,-7.125727,-4.901546,-7.3989143,-6.2761726,-5.6883445,-3.1914594
2010-01-10,-0.68208295,-0.5120514,-2.4471884,-1.0711806,-1.4875091,-0.9915573,-1.5844053,-1.8324323,-2.0123792,-1.459891,-1.0787922,-2.2894738
2010-01-11,-0.5809488,-0.07535042,-1.1007853,-0.4502026,1.9585547,0.103884555,-0.006520984,-0.7497266,-0.036314078,0.6431894,1.0566839,-0.84456015
2010-01-12,1.5664564,3.6367855,2.3199408,2.4429958,5.183477,2.8488626,2.2808921,1.7393376,2.2787445,3.9791763,3.154168,0.6328512
2010-01-13,3.1890347,2.995427,2.3896744,3.8901942,2.1986015,3.2462833,2.7379172,0.2078904,2.5218992,2.8852768,2.315741,-0.8934448
2010-01-14,1.384521,-0.042611558,1.6914939,1.5083266,-1.9615396,1.0895158,1.971517,1.3661367,2.5015032,0.769404,-1.3998957,0.21104972
