time,Grand Est,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Île-de-France,Occitanie,Hauts-de-France,Normandie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2010-01-01,1.2309169,1.2278478,1.1608539,1.2176768,1.2537026,1.2538084,1.2645762,1.1836267,1.2677017,1.2554914,1.2617313,1.137717
2010-01-02,1.2649361,1.260517,1.20821,1.2577153,1.275237,1.2789451,1.2819854,1.2196393,1.2771649,1.2694767,1.2843121,1.1856483
2010-01-03,1.2668477,1.2534138,1.2034732,1.2565016,1.2786893,1.2776924,1.2904924,1.2118248,1.2955498,1.279127,1.2852306,1.1838552
2010-01-04,1.2793517,1.2486563,1.192901,1.2610025,1.2911507,1.2891468,1.3030804,1.1943384,1.302188,1.2923887,1.2994347,1.1727225
2010-01-05,1.2731298,1.2519922,1.1838797,1.2579308,1.2692146,1.2856306,1.2903637,1.1953486,1.2786919,1.270309,1.2876405,1.1570493
2010-01-06,1.2634403,1.2486471,1.1868917,1.2482389,1.2544215,1.2723919,1.2849067,1.2081168,1.288916,1.2662331,1.2639333,1.1638902
2010-01-07,1.2578205,1.2539153,1.1896993,1.2442209,1.2750682,1.2744566,1.2855381,1.2079101,1.2913637,1.2762299,1.2846226,1.1689417
2010-01-08,1.2658113,1.2714782,1.191486,1.2505212,1.2822391,1.2910395,1.2990083,1.2199225,1.3088523,1.2889434,1.2964357,1.1538005
2010-01-09,1.2641655,1.2770271,1.2029952,1.2550343,1.2866039,1.2853392,1.2894045,1.2343513,1.2957696,1.2880051,1.3007535,1.1636513
2010-01-10,1.2669345,1.2739205,1.2080611,1.2577604,1.2782775,1.2823138,1.2859062,1.2336308,1.2895187,1.2806587,1.2923309,1.1827356
2010-01-11,1.2701918,1.2737843,1.2107986,1.2647127,1.2844044,1.2865286,1.2877754,1.2283678,1.2939669,1.28566,1.2957484,1.1822718
2010-01-12,1.2633301,1.2507063,1.1952419,1.253233,1.2627553,1.2748213,1.2801579,1.2099229,1.2823719,1.2769502,1.2804109,1.1755725
2010-01-13,1.2400147,1.2240907,1.1724749,1.2213684,1.232941,1.2451276,1.2573429,1.1914064,1.2655123,1.2484244,1.2432224,1.1661025
2010-01-14,1.2397867,1.2222012,1.1720018,1.2265708,1.2444409,1.2435306,1.2532254,1.1785536,1.2604145,1.24706,1.2528062,1.1621346
2010-01-15,1.2597804,1.2526519,1.1910652,1.2452179,1.2591081,1.274624,1.2776681,1.2107898,1.2782577,1.270056,1.2789515,1.1673416
2010-01-16,1.2551016,1.2360119,1.1846877,1.2403262,1.2310156,1.25534,1.264049,1.197031,1.2678795,1.2487775,1.2491173,1.172944
2010-01-17,1.2360238,1.2360249,1.1835033,1.2278175,1.2511214,1.2503885,1.258246,1.2016543,1.2552142,1.2513773,1.2570233,1.1726742
