time,Grand Est,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Île-de-France,Occitanie,Hauts-de-France,Normandie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2010-01-01,20.35564,46.1389,24.562256,23.365412,46.921124,41.15404,36.50536,30.487543,43.5412,47.245358,58.88423,36.163944
2010-01-02,47.71462,75.02975,79.00645,59.38435,56.3557,60.86945,37.160236,75.04801,34.75639,37.658474,64.01651,94.37557
2010-01-03,46.585266,15.96489,38.91364,54.219284,29.861425,34.05749,50.746063,25.922419,48.886837,48.39407,24.103918,42.56944
2010-01-04,59.37145,57.64029,49.029057,67.921906,68.99939,71.45902,64.95838,38.283604,49.83365,62.567158,73.89664,50.15743
2010-01-05,58.87563,43.50311,52.590534,55.54903,55.8878,63.29298,50.829975,28.203293,42.290913,49.972614,70.15772,47.915863
2010-01-06,52.457203,44.59367,71.9619,56.102917,30.203476,36.87036,27.86303,80.71029,31.869444,28.876764,42.792492,96.26694
2010-01-07,32.983784,47.51479,45.928204,38.85841,52.665833,50.992737,54.42687,25.932405,48.11421,45.80315,62.900158,41.295444
2010-01-08,37.380444,64.08883,26.904413,28.088263,51.400105,53.104706,59.446392,52.56496,53.180355,62.8905,65.90414,26.051048
2010-01-09,31.41184,39.570927,26.316706,23.688013,40.98195,30.3604,29.645617,46.411545,24.79441,27.613024,45.27957,38.36083
2010-01-10,42.542637,62.299866,54.915833,47.934063,41.97917,46.79408,42.42551,79.36358,38.358234,41.01299,52.820736,58.142166
2010-01-11,43.52885,72.7683,78.94037,61.41518,61.412525,55.76819,51.679626,76.35455,44.95268,48.09898,62.017223,85.09353
2010-01-12,50.624603,34.50176,78.285774,63.43999,15.582837,55.598866,54.001495,53.994976,43.35301,47.725704,29.044714,89.45138
2010-01-13,12.153515,38.395954,46.728924,12.705139,33.73297,20.182642,12.29997,63.073673,14.37217,15.754379,29.822586,51.78828
2010-01-14,58.92165,31.246178,36.255875,44.043827,35.627064,35.86668,48.660645,46.01682,33.723537,31.899145,38.24822,33.53934
2010-01-15,48.562286,70.4052,64.94442,55.727905,39.338654,37.27276,32.432552,74.81952,29.766235,32.6212,45.41887,91.62679
2010-01-16,30.586731,25.739065,33.73093,27.557684,52.305187,18.791548,18.97554,43.207256,19.19098,18.175835,18.588436,56.937885
2010-01-17,33.505085,63.0206,57.55309,47.678326,52.814373,60.434803,41.034267,58.845394,44.702072,19.148272,60.784607,62.990566
2010-01-18,42.242596,79.113716,79.17415,58.727947,40.107815,42.75295,26.364481,94.30535,13.250733,31.899864,48.0157,107.219765
2010-01-19,62.14916,48.3703,80.243744,79.595924,53.180725,51.573566,59.392826,43.874813,41.787994,48.933033,44.235584,94.42859
2010-01-20,39.385353,66.16539,28.219763,19.476206,66.65732,21.15342,10.19044,43.69217,25.030867,19.325918,61.594696,57.781788
