time,Grand Est,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Île-de-France,Occitanie,Hauts-de-France,Normandie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2010-01-01,272.13644,276.08917,273.6443,273.17728,275.98337,272.5588,271.38187,276.4471,271.73743,273.12622,273.96558,276.7256
2010-01-02,270.14462,273.86136,268.49515,270.14554,275.24933,272.1348,272.17365,273.38718,273.52774,274.10934,273.61874,270.97842
2010-01-03,270.55948,274.3089,269.84122,270.83853,274.0501,272.35587,271.179,274.58957,271.13855,272.66635,272.95877,272.7718
2010-01-04,266.9542,274.00247,270.3613,268.36264,271.29565,268.9332,267.823,276.58777,268.97778,269.3077,269.41562,273.43082
2010-01-05,265.64264,271.6201,269.9457,266.46402,273.24026,267.25455,267.7078,274.35995,270.75647,270.94836,269.61276,274.28195
2010-01-06,266.72903,272.15347,269.09457,267.9347,274.42538,268.90427,267.57617,271.98758,267.7382,270.01932,272.75513,272.50067
2010-01-07,269.27563,271.96512,269.59048,270.02847,273.33057,270.01352,269.03122,272.29453,268.89386,270.5062,270.87485,272.5967
2010-01-08,268.4205,269.12808,268.19397,268.8364,273.40143,267.88693,267.90866,269.16507,267.48947,269.72876,269.95215,273.69046
2010-01-09,268.18002,268.58478,265.94858,267.7264,272.70364,268.9102,269.4199,267.18442,269.64963,269.8115,269.24536,271.65012
2010-01-10,268.75632,269.93787,266.8844,268.67935,273.6458,270.15244,270.48862,269.03964,270.76855,271.04535,270.86664,270.26993
2010-01-11,269.09534,270.4412,267.3256,268.28503,272.775,270.1708,271.06064,270.68887,270.71573,270.74118,270.84604,271.8113
2010-01-12,269.09122,272.88373,269.45395,269.04913,273.46384,270.15335,270.5045,273.29398,271.04248,269.83875,270.8746,272.96408
2010-01-13,271.90598,277.70462,273.43948,274.06046,278.7957,274.6379,272.97226,276.64355,272.03384,273.73593,277.2172,273.93115
2010-01-14,272.68387,276.85507,272.8765,273.19583,277.38467,275.09415,274.63345,277.3339,274.17514,274.94604,275.55057,274.1608
2010-01-15,272.21527,275.92337,272.87527,273.30344,277.94907,273.34396,273.7511,275.85684,274.2728,274.29877,274.75076,276.25888
2010-01-16,272.21338,278.324,274.35815,273.51624,281.51117,275.62784,274.7134,278.82687,274.42313,276.30536,278.76822,276.47598
