id,year,month,day,hour,minute,surfaceHeight
0,2010,1,1,0,12,0.0
1,2010,1,1,0,59,-0.03
2,2010,1,1,1,15,-0.05
3,2010,1,1,1,18,-0.07
4,2010,1,1,1,42,-0.07
5,2010,1,1,2,45,-0.13
6,2010,1,1,5,4,-0.18
7,2010,1,1,5,20,-0.2
8,2010,1,1,12,51,-0.32
9,2010,1,1,14,49,-0.3
10,2010,1,1,15,18,-0.29
11,2010,1,1,16,47,-0.19
12,2010,1,1,19,46,-0.13
13,2010,1,1,20,52,0.0
14,2010,1,1,21,22,0.05
15,2010,1,1,22,18,0.1
16,2010,1,1,23,2,0.12
17,2010,1,1,23,8,0.13
18,2010,1,2,1,32,0.16
19,2010,1,2,2,57,0.19
20,2010,1,2,3,30,0.18
21,2010,1,2,3,34,0.16
22,2010,1,2,4,3,0.14
23,2010,1,2,4,7,0.12
24,2010,1,2,4,19,0.12
25,2010,1,2,4,23,0.1
26,2010,1,2,4,55,0.08
27,2010,1,2,4,59,0.06
28,2010,1,2,5,37,0.04
29,2010,1,2,6,45,0.05
30,2010,1,2,7,30,0.07
31,2010,1,2,11,39,0.16
32,2010,1,2,12,13,0.15
33,2010,1,2,13,14,0.09
34,2010,1,2,14,0,0.05
35,2010,1,2,15,38,0.04
36,2010,1,2,16,3,0.06
37,2010,1,2,16,27,0.09
38,2010,1,2,17,57,0.12
39,2010,1,2,18,47,0.1
40,2010,1,2,18,55,0.09
41,2010,1,2,19,32,0.08
42,2010,1,2,20,25,0.05
43,2010,1,2,20,31,0.04
44,2010,1,2,23,16,-0.03
45,2010,1,2,23,53,-0.05
46,2010,1,3,0,49,-0.13
47,2010,1,3,0,51,-0.14
48,2010,1,3,1,18,-0.18
49,2010,1,3,1,23,-0.2
50,2010,1,3,2,28,-0.31
51,2010,1,3,3,18,-0.35
52,2010,1,3,4,38,-0.33
53,2010,1,3,5,44,-0.33
54,2010,1,3,7,40,-0.43
55,2010,1,3,7,47,-0.45
56,2010,1,3,8,35,-0.47
57,2010,1,3,8,41,-0.49
58,2010,1,3,10,58,-0.49
59,2010,1,3,14,33,-0.55
60,2010,1,3,14,39,-0.56
61,2010,1,3,16,36,-0.59
62,2010,1,3,17,33,-0.56
63,2010,1,3,17,57,-0.54
64,2010,1,3,19,27,-0.51
65,2010,1,3,22,15,-0.52
66,2010,1,3,22,54,-0.5
67,2010,1,3,23,57,-0.45
68,2010,1,4,3,4,-0.44
69,2010,1,4,4,26,-0.38
70,2010,1,4,6,2,-0.34
71,2010,1,4,8,12,-0.32
72,2010,1,4,9,37,-0.3
73,2010,1,4,12,42,-0.38
74,2010,1,4,13,27,-0.36
75,2010,1,4,13,52,-0.34
76,2010,1,4,14,53,-0.26
77,2010,1,4,15,22,-0.22
78,2010,1,4,15,58,-0.15
79,2010,1,4,16,35,-0.09
80,2010,1,4,16,39,-0.07
81,2010,1,4,17,29,-0.0
82,2010,1,4,18,4,0.03
83,2010,1,4,20,29,0.1
84,2010,1,4,21,18,0.15
85,2010,1,4,21,25,0.16
86,2010,1,4,22,19,0.21
87,2010,1,4,23,8,0.22
88,2010,1,4,23,12,0.21
89,2010,1,5,2,8,0.21
90,2010,1,5,2,33,0.19
91,2010,1,5,3,14,0.15
92,2010,1,5,3,51,0.08
93,2010,1,5,4,1,0.07
94,2010,1,5,4,5,0.06
95,2010,1,5,4,26,0.04
96,2010,1,5,4,30,0.02
97,2010,1,5,4,58,-0.02
98,2010,1,5,5,0,-0.03
99,2010,1,5,5,17,-0.04
100,2010,1,5,5,21,-0.05
101,2010,1,5,7,22,-0.09
102,2010,1,5,10,53,-0.11
103,2010,1,5,11,49,-0.04
104,2010,1,5,12,15,0.01
105,2010,1,5,12,24,0.01
106,2010,1,5,12,28,0.02
107,2010,1,5,12,54,0.05
108,2010,1,5,14,26,0.09
109,2010,1,5,15,15,0.12
110,2010,1,5,15,23,0.14
111,2010,1,5,16,34,0.15
112,2010,1,5,17,3,0.13
113,2010,1,5,17,56,0.07
114,2010,1,5,18,0,0.05
115,2010,1,5,18,26,0.04
116,2010,1,5,18,29,0.02
117,2010,1,5,20,7,0.0
118,2010,1,5,21,4,0.03
119,2010,1,5,21,24,0.06
120,2010,1,5,22,8,0.1
121,2010,1,5,23,20,0.14
122,2010,1,5,23,48,0.14
123,2010,1,5,23,53,0.13
124,2010,1,6,0,37,0.12
125,2010,1,6,1,17,0.09
126,2010,1,6,2,19,0.02
127,2010,1,6,2,21,0.0
128,2010,1,6,2,37,-0.0
129,2010,1,6,2,44,-0.02
130,2010,1,6,2,56,-0.02
131,2010,1,6,3,0,-0.04
132,2010,1,6,5,14,-0.1
133,2010,1,6,7,39,-0.07
134,2010,1,6,8,21,-0.08
135,2010,1,6,8,23,-0.1
136,2010,1,6,9,2,-0.11
137,2010,1,6,9,6,-0.13
138,2010,1,6,10,11,-0.19
139,2010,1,6,11,51,-0.35
140,2010,1,6,12,10,-0.37
141,2010,1,6,12,16,-0.38
142,2010,1,6,13,0,-0.37
143,2010,1,6,13,52,-0.29
144,2010,1,6,13,59,-0.27
145,2010,1,6,14,48,-0.21
146,2010,1,6,15,40,-0.17
147,2010,1,6,16,43,-0.14
148,2010,1,6,18,19,-0.12
149,2010,1,6,21,46,-0.15
150,2010,1,7,0,0,-0.1
151,2010,1,7,3,3,-0.06
152,2010,1,7,7,2,-0.17
153,2010,1,7,7,59,-0.21
154,2010,1,7,8,6,-0.22
155,2010,1,7,9,16,-0.24
156,2010,1,7,9,30,-0.25
157,2010,1,7,11,12,-0.25
158,2010,1,7,12,20,-0.18
159,2010,1,7,13,1,-0.11
160,2010,1,7,14,5,-0.04
161,2010,1,7,14,38,-0.02
162,2010,1,7,16,13,0.0
163,2010,1,7,16,19,0.02
164,2010,1,7,17,19,0.07
165,2010,1,7,18,41,0.09
166,2010,1,7,20,32,0.08
167,2010,1,7,21,11,0.11
168,2010,1,7,22,11,0.19
169,2010,1,7,22,46,0.21
170,2010,1,7,22,50,0.23
171,2010,1,8,1,26,0.25
172,2010,1,8,2,42,0.29
173,2010,1,8,2,47,0.28
174,2010,1,8,3,13,0.28
175,2010,1,8,3,18,0.26
176,2010,1,8,3,33,0.26
177,2010,1,8,3,35,0.24
178,2010,1,8,3,47,0.24
179,2010,1,8,4,48,0.12
180,2010,1,8,5,10,0.09
181,2010,1,8,5,15,0.08
182,2010,1,8,5,33,0.06
183,2010,1,8,5,46,0.03
184,2010,1,8,6,13,0.0
185,2010,1,8,6,17,-0.01
186,2010,1,8,6,58,-0.04
187,2010,1,8,7,0,-0.05
188,2010,1,8,7,47,-0.06
189,2010,1,8,7,53,-0.08
190,2010,1,8,10,36,-0.13
191,2010,1,8,11,18,-0.09
192,2010,1,8,12,6,-0.02
193,2010,1,8,12,42,0.0
194,2010,1,8,15,35,-0.01
195,2010,1,8,17,18,-0.0
196,2010,1,8,17,41,-0.03
197,2010,1,8,19,24,-0.06
198,2010,1,8,22,9,0.0
199,2010,1,8,22,30,-0.0
200,2010,1,8,22,37,-0.01
201,2010,1,8,22,58,-0.02
202,2010,1,8,23,45,-0.08
203,2010,1,9,1,29,-0.13
204,2010,1,9,5,43,-0.09
205,2010,1,9,8,7,-0.12
206,2010,1,9,8,57,-0.15
207,2010,1,9,9,19,-0.18
208,2010,1,9,10,27,-0.24
209,2010,1,9,14,11,-0.25
210,2010,1,9,15,4,-0.2
211,2010,1,9,16,16,-0.08
212,2010,1,9,16,58,-0.02
213,2010,1,9,17,25,0.02
214,2010,1,9,18,2,0.04
215,2010,1,9,20,46,0.11
216,2010,1,9,21,35,0.15
217,2010,1,9,21,42,0.17
218,2010,1,10,0,3,0.2
